shortest_path	target_node
>KRAS>UBC>XRCC6>GAL3ST4	GAL3ST4
>KRAS>RAF1>PPP1CC>TLX3	TLX3
>KRAS>APP>PPP1CC>TLX3	TLX3
>KRAS>UBC>PPP1CC>TLX3	TLX3
>KRAS>HDAC1>PPP1CC>TLX3	TLX3
>KRAS>CALM1>PPP1CC>TLX3	TLX3
>KRAS>MAPK1>PPP1CC>TLX3	TLX3
>KRAS>ELAVL1>PPP1CC>TLX3	TLX3
>KRAS>EEF1A1>HNRNPUL1>TLX3	TLX3
>KRAS>UBC>HNRNPUL1>TLX3	TLX3
>KRAS>ELAVL1>HNRNPUL1>TLX3	TLX3
>KRAS>EEF1A1>PQBP1>TLX3	TLX3
>KRAS>APP>PQBP1>TLX3	TLX3
>KRAS>UBC>PQBP1>TLX3	TLX3
>KRAS>UBC>HIST1H2BJ>TLX3	TLX3
>KRAS>UBC>DENND4A>TLX3	TLX3
>KRAS>UBC>LMO2>TLX3	TLX3
>KRAS>UBC>ING4>TLX3	TLX3
>KRAS>EGLN1>ING4>TLX3	TLX3
>KRAS>UBC>TLE2>TLX3	TLX3
>KRAS>UBC>TLE1>TLX3	TLX3
>KRAS>HDAC1>TLE1>TLX3	TLX3
>KRAS>SIRT1>TLE1>TLX3	TLX3
>KRAS>UBC>SP1>TLX3	TLX3
>KRAS>HDAC1>SP1>TLX3	TLX3
>KRAS>HDAC3>SP1>TLX3	TLX3
>KRAS>CALM1>SP1>TLX3	TLX3
>KRAS>MAPK1>SP1>TLX3	TLX3
>KRAS>SIRT1>SP1>TLX3	TLX3
>KRAS>ELAVL1>IRF9>TLX3	TLX3
>KRAS>UBC>ATP8A1	ATP8A1
>KRAS>DNAJA3>CUL3>MTMR3	MTMR3
>KRAS>CCT7>CUL3>MTMR3	MTMR3
>KRAS>EEF1A1>CUL3>MTMR3	MTMR3
>KRAS>APP>CUL3>MTMR3	MTMR3
>KRAS>UBC>CUL3>MTMR3	MTMR3
>KRAS>PHB>CUL3>MTMR3	MTMR3
>KRAS>PIK3R2>CUL3>MTMR3	MTMR3
>KRAS>CALM1>CUL3>MTMR3	MTMR3
>KRAS>ELAVL1>CUL3>MTMR3	MTMR3
>KRAS>HNRNPC>CUL3>MTMR3	MTMR3
>KRAS>DDX50>CUL3>MTMR3	MTMR3
>KRAS>UBC>HIVEP1>MTMR3	MTMR3
>KRAS>PIK3CA>GRB2>KRT32	KRT32
>KRAS>DNAJA3>GRB2>KRT32	KRT32
>KRAS>CCT7>GRB2>KRT32	KRT32
>KRAS>APP>GRB2>KRT32	KRT32
>KRAS>UBC>GRB2>KRT32	KRT32
>KRAS>PIK3R2>GRB2>KRT32	KRT32
>KRAS>ELAVL1>GRB2>KRT32	KRT32
>KRAS>HNRNPC>GRB2>KRT32	KRT32
>KRAS>APP>CDC20>KRT32	KRT32
>KRAS>UBC>CDC20>KRT32	KRT32
>KRAS>HDAC1>CDC20>KRT32	KRT32
>KRAS>SIRT1>CDC20>KRT32	KRT32
>KRAS>UBC>EPS15>KRT32	KRT32
>KRAS>ELAVL1>EPS15>KRT32	KRT32
>KRAS>ELAVL1>MARCH2	2-Mar
>KRAS>APP>ELF2	ELF2
>KRAS>UBC>ELF2	ELF2
>KRAS>ELAVL1>ELF2	ELF2
>KRAS>PIK3CA>NOTCH1>NOV	NOV
>KRAS>APP>NOTCH1>NOV	NOV
>KRAS>UBC>NOTCH1>NOV	NOV
>KRAS>HDAC1>NOTCH1>NOV	NOV
>KRAS>MAPK1>NOTCH1>NOV	NOV
>KRAS>PDE4DIP>CDKN1A>NOV	NOV
>KRAS>CCT7>CDKN1A>NOV	NOV
