STUDY_ID	SAMPLE_ID	EGFR
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	193.564
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	126.426
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	635.752
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	363.284
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	377.228
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	401.52
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	267.712
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	99.2742
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	533.298
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	364.037
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	188.295
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	76.4563
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	71.8326
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	378.029
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	500.863
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	133.21
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	99.9554
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	22.1205
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	546.864
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	454.737
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	77.2079
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	59.2885
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	314.92
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	617.366
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	285.239
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	173.398
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	214.953
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	1771.37
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	147.235
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	47.4698
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	186.055
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	50.74
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	86.1221
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	55.2796
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	102.199
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	129.422
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	139.642
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	71.681
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	253.991
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	705.805
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	424.086
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KT-01	68.4008
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KU-01	35.8811
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KV-01	131.122
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KW-01	792.202
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KX-01	304.493
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KY-01	170.887
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	216.351
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L1-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L2-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L3-01	165.179
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L4-01	577.407
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L5-01	206.445
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L6-01	108.411
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	459.298
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L9-01	48.3871
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LA-01	221.828
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LB-01	470.446
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LC-01	56.9878
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LD-01	56.9878
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LE-01	22.7563
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LF-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LG-01	217.495
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LH-01	195.89
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LI-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LJ-01	120.816
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LK-01	127.119
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LL-01	1280.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LM-01	230.527
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LN-01	141.041
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LO-01	1180.68
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LP-01	1465.96
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LR-01	108.787
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LS-01	629.51
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LT-01	169.218
acc_tcga_pan_can_atlas_2018	TCGA-OU-A5PI-01	763.962
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OF-01	933.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5OG-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-PA-A5YG-01	1457.7
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H8-01	259.838
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H9-01	108.171
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HA-01	458.649
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HB-01	1781.07
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HC-01	NA
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KO-01	304.95
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KP-01	1119.4
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KQ-01	830.292
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KR-01	834.293
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KT-01	1013.53
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KW-01	921.028
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7M-01	1775.56
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7N-01	528.157
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7O-01	660.342
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Q-01	772.782
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7R-01	45.8389
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7S-01	213.235
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7W-01	513.846
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Y-01	619.087
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA80-01	732.194
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA81-01	1507.43
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA82-01	2983.68
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA83-01	438.251
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA84-01	583.925
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA86-01	14201.3
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA87-01	279.282
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA89-01	454.767
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KI-01	981.972
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KM-01	804.854
blca_tcga_pan_can_atlas_2018	TCGA-BL-A0C8-01	393.804
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13I-01	169.903
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13J-01	4736.37
blca_tcga_pan_can_atlas_2018	TCGA-BL-A3JM-01	32.0224
blca_tcga_pan_can_atlas_2018	TCGA-BL-A5ZZ-01	544.985
blca_tcga_pan_can_atlas_2018	TCGA-BT-A0S7-01	6099.06
blca_tcga_pan_can_atlas_2018	TCGA-BT-A0YX-01	1740.91
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20J-01	4213
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20N-01	4716.67
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20O-01	682.073
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20P-01	179.191
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20Q-01	446.378
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20R-01	623.299
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20T-01	668.256
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20U-01	689.377
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20V-01	3190.83
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20W-01	659.175
blca_tcga_pan_can_atlas_2018	TCGA-BT-A20X-01	4071.2
blca_tcga_pan_can_atlas_2018	TCGA-BT-A2LA-01	118.422
blca_tcga_pan_can_atlas_2018	TCGA-BT-A2LB-01	542.182
blca_tcga_pan_can_atlas_2018	TCGA-BT-A2LD-01	5632.52
blca_tcga_pan_can_atlas_2018	TCGA-BT-A3PH-01	828.089
blca_tcga_pan_can_atlas_2018	TCGA-BT-A3PJ-01	40219.1
blca_tcga_pan_can_atlas_2018	TCGA-BT-A3PK-01	1139.4
blca_tcga_pan_can_atlas_2018	TCGA-BT-A42B-01	NA
blca_tcga_pan_can_atlas_2018	TCGA-BT-A42C-01	540.494
blca_tcga_pan_can_atlas_2018	TCGA-BT-A42E-01	1481.05
blca_tcga_pan_can_atlas_2018	TCGA-BT-A42F-01	468.854
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0EZ-01	12.1156
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0F0-01	1459.28
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0F1-01	5092.23
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0F6-01	1006.8
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0F7-01	2473.94
blca_tcga_pan_can_atlas_2018	TCGA-CF-A1HR-01	375.771
blca_tcga_pan_can_atlas_2018	TCGA-CF-A1HS-01	3338.28
blca_tcga_pan_can_atlas_2018	TCGA-CF-A27C-01	418.003
blca_tcga_pan_can_atlas_2018	TCGA-CF-A3MF-01	236.281
blca_tcga_pan_can_atlas_2018	TCGA-CF-A3MG-01	405.213
blca_tcga_pan_can_atlas_2018	TCGA-CF-A3MH-01	385.279
blca_tcga_pan_can_atlas_2018	TCGA-CF-A3MI-01	199.05
blca_tcga_pan_can_atlas_2018	TCGA-CF-A47S-01	299.947
blca_tcga_pan_can_atlas_2018	TCGA-CF-A47T-01	117.825
blca_tcga_pan_can_atlas_2018	TCGA-CF-A47V-01	575.788
blca_tcga_pan_can_atlas_2018	TCGA-CF-A47W-01	47.1698
blca_tcga_pan_can_atlas_2018	TCGA-CF-A47X-01	121.095
blca_tcga_pan_can_atlas_2018	TCGA-CF-A47Y-01	169.248
blca_tcga_pan_can_atlas_2018	TCGA-CF-A5U8-01	288.044
blca_tcga_pan_can_atlas_2018	TCGA-CF-A5UA-01	87.4751
blca_tcga_pan_can_atlas_2018	TCGA-CF-A7I0-01	241.739
blca_tcga_pan_can_atlas_2018	TCGA-CF-A8HX-01	267.344
blca_tcga_pan_can_atlas_2018	TCGA-CF-A8HY-01	167.689
blca_tcga_pan_can_atlas_2018	TCGA-CF-A9FF-01	338.761
blca_tcga_pan_can_atlas_2018	TCGA-CF-A9FH-01	186.03
blca_tcga_pan_can_atlas_2018	TCGA-CF-A9FL-01	539.213
blca_tcga_pan_can_atlas_2018	TCGA-CF-A9FM-01	341.495
blca_tcga_pan_can_atlas_2018	TCGA-CU-A0YN-01	24590.3
blca_tcga_pan_can_atlas_2018	TCGA-CU-A0YO-01	2461.52
blca_tcga_pan_can_atlas_2018	TCGA-CU-A0YR-01	416.942
blca_tcga_pan_can_atlas_2018	TCGA-CU-A3KJ-01	5968.88
blca_tcga_pan_can_atlas_2018	TCGA-CU-A3QU-01	1354.2
blca_tcga_pan_can_atlas_2018	TCGA-CU-A3YL-01	24.186
blca_tcga_pan_can_atlas_2018	TCGA-CU-A5W6-01	302.245
blca_tcga_pan_can_atlas_2018	TCGA-CU-A72E-01	1724.45
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A3-01	3727.17
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A5-01	4447.85
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A6-01	85.6156
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1A7-01	175.475
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AA-01	604.548
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AB-01	3451.98
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AC-01	36.4018
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AD-01	528.283
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AE-01	925.038
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AF-01	1150.23
blca_tcga_pan_can_atlas_2018	TCGA-DK-A1AG-01	678.974
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2HX-01	1039.89
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I1-01	152.967
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I2-01	2061.85
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I4-01	1193.86
blca_tcga_pan_can_atlas_2018	TCGA-DK-A2I6-01	1450.23
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IK-01	1700.93
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3IL-01	488.295
