STUDY_ID	SAMPLE_ID	ESR1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	177.233
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	34.6262
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	6.5176
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	30.2091
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	46.944
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	12.8359
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	121.84
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	8.1595
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	18.4989
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	11.1396
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	98.6005
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	13.9563
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	55.4299
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	13.1287
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	8.0613
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	252.544
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	443.106
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	36.6133
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	5.6378
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	34.0517
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	28.0756
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	69.8287
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	30.2578
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	10.3286
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	109.878
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	4.2639
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	79.4393
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	159.719
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	152.424
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	25.5262
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	5.3736
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	19.556
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	23.1867
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	18.1386
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	10.3493
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	1.6808
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	21.5893
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	59.5659
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	4.3541
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	74.3184
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	1.4058
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KT-01	113.68
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KU-01	6.7277
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KV-01	9.2557
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KW-01	7.0204
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KX-01	140.057
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KY-01	17.7089
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	140
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L1-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L2-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L3-01	8.9286
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L4-01	78.028
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L5-01	51.8842
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L6-01	42.9907
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	17.5579
