STUDY_ID	SAMPLE_ID	HSP90AA1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	53955.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	56487.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	58450.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LS-01	59176.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LA-01	66020.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	72333.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LR-01	101011
blca_tcga_pan_can_atlas_2018	TCGA-CF-A3MF-01	54624.6
blca_tcga_pan_can_atlas_2018	TCGA-FD-A3SM-01	54863.7
blca_tcga_pan_can_atlas_2018	TCGA-GV-A3JW-01	55543
blca_tcga_pan_can_atlas_2018	TCGA-ZF-A9R1-01	56016.5
blca_tcga_pan_can_atlas_2018	TCGA-XF-A8HG-01	56239
blca_tcga_pan_can_atlas_2018	TCGA-DK-A3X2-01	59135
blca_tcga_pan_can_atlas_2018	TCGA-ZF-A9RF-01	59624.6
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EL-01	59988.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2EO-01	60402.1
blca_tcga_pan_can_atlas_2018	TCGA-G2-A2ES-01	60709.3
blca_tcga_pan_can_atlas_2018	TCGA-FD-A62O-01	61728.6
blca_tcga_pan_can_atlas_2018	TCGA-KQ-A41Q-01	62743.5
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0F0-01	65420.2
blca_tcga_pan_can_atlas_2018	TCGA-FD-A6TD-01	67071.8
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0EZ-01	71294.7
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA87-01	87768.4
blca_tcga_pan_can_atlas_2018	TCGA-C4-A0F7-01	127555
brca_tcga_pan_can_atlas_2018	TCGA-AC-A7VB-01	54211.6
brca_tcga_pan_can_atlas_2018	TCGA-C8-A1HM-01	54332.4
brca_tcga_pan_can_atlas_2018	TCGA-D8-A1XQ-01	54613.8
brca_tcga_pan_can_atlas_2018	TCGA-D8-A1JG-01	55069.2
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09Z-01	55288.4
brca_tcga_pan_can_atlas_2018	TCGA-B6-A0WW-01	55587.7
brca_tcga_pan_can_atlas_2018	TCGA-D8-A27N-01	55705.4
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07R-01	56212.8
brca_tcga_pan_can_atlas_2018	TCGA-C8-A135-01	56241.9
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08J-01	56476.4
brca_tcga_pan_can_atlas_2018	TCGA-E2-A15R-01	56555.2
brca_tcga_pan_can_atlas_2018	TCGA-E2-A109-01	56832.6
brca_tcga_pan_can_atlas_2018	TCGA-E9-A1RH-01	56832.9
brca_tcga_pan_can_atlas_2018	TCGA-D8-A1JL-01	56921.1
brca_tcga_pan_can_atlas_2018	TCGA-A8-A092-01	57356.6
brca_tcga_pan_can_atlas_2018	TCGA-E9-A295-01	57434.3
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0SU-01	57469.2
brca_tcga_pan_can_atlas_2018	TCGA-E9-A244-01	57584.1
brca_tcga_pan_can_atlas_2018	TCGA-BH-A0E2-01	57995.3
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YG-01	58075.8
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0T0-01	58457.2
brca_tcga_pan_can_atlas_2018	TCGA-EW-A1OY-01	58664.1
brca_tcga_pan_can_atlas_2018	TCGA-AQ-A0Y5-01	58711.1
brca_tcga_pan_can_atlas_2018	TCGA-A2-A25B-01	58920.4
brca_tcga_pan_can_atlas_2018	TCGA-AO-A0JE-01	58998
brca_tcga_pan_can_atlas_2018	TCGA-B6-A0RO-01	59076.8
brca_tcga_pan_can_atlas_2018	TCGA-C8-A138-01	59221.8
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0CM-01	59290.2
brca_tcga_pan_can_atlas_2018	TCGA-AR-A1AI-01	60687.9
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06X-01	60744.2
brca_tcga_pan_can_atlas_2018	TCGA-BH-A18L-01	60977.5
brca_tcga_pan_can_atlas_2018	TCGA-BH-A0H9-01	61793.8
brca_tcga_pan_can_atlas_2018	TCGA-EW-A1P5-01	62030.3
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FV-01	62502.9
brca_tcga_pan_can_atlas_2018	TCGA-E9-A243-01	62965.5
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23H-01	62972
brca_tcga_pan_can_atlas_2018	TCGA-C8-A137-01	62999.5
brca_tcga_pan_can_atlas_2018	TCGA-AC-A5XU-01	63456.5
brca_tcga_pan_can_atlas_2018	TCGA-B6-A0I9-01	63936.9
brca_tcga_pan_can_atlas_2018	TCGA-BH-A0HB-01	63944.5
brca_tcga_pan_can_atlas_2018	TCGA-OL-A5RW-01	64596.2
brca_tcga_pan_can_atlas_2018	TCGA-C8-A12Q-01	65263.7
brca_tcga_pan_can_atlas_2018	TCGA-E9-A248-01	65430.2
brca_tcga_pan_can_atlas_2018	TCGA-AN-A04A-01	65911.1
brca_tcga_pan_can_atlas_2018	TCGA-LL-A8F5-01	67167.4
brca_tcga_pan_can_atlas_2018	TCGA-AO-A03N-01	67376.6
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07I-01	67414.4
brca_tcga_pan_can_atlas_2018	TCGA-AO-A03V-01	67511
brca_tcga_pan_can_atlas_2018	TCGA-AR-A1AV-01	68328.7
brca_tcga_pan_can_atlas_2018	TCGA-AO-A0J7-01	69098.1
brca_tcga_pan_can_atlas_2018	TCGA-E2-A14O-01	69259.7
brca_tcga_pan_can_atlas_2018	TCGA-EW-A1IW-01	69751.8
brca_tcga_pan_can_atlas_2018	TCGA-C8-A26Z-01	71104.2
brca_tcga_pan_can_atlas_2018	TCGA-AO-A03M-01	71221.7
brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO-01	71483.9
brca_tcga_pan_can_atlas_2018	TCGA-D8-A1JF-01	72314.8
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0T3-01	72542.9
brca_tcga_pan_can_atlas_2018	TCGA-D8-A143-01	72744.4
brca_tcga_pan_can_atlas_2018	TCGA-B6-A0I1-01	72903.7
brca_tcga_pan_can_atlas_2018	TCGA-C8-A275-01	72972.9
brca_tcga_pan_can_atlas_2018	TCGA-E9-A22D-01	73046.4
brca_tcga_pan_can_atlas_2018	TCGA-B6-A1KN-01	74152.1
brca_tcga_pan_can_atlas_2018	TCGA-D8-A1X5-01	74856.8
brca_tcga_pan_can_atlas_2018	TCGA-BH-A18V-01	76750
brca_tcga_pan_can_atlas_2018	TCGA-BH-A1F8-01	76878.5
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0XO-01	77583.7
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0FW-01	77828.4
brca_tcga_pan_can_atlas_2018	TCGA-A2-A0YE-01	77943.9
brca_tcga_pan_can_atlas_2018	TCGA-E2-A15T-01	78371.9
brca_tcga_pan_can_atlas_2018	TCGA-BH-A1ES-01	78560.7
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AT-01	80228.3
brca_tcga_pan_can_atlas_2018	TCGA-D8-A1XK-01	80879
brca_tcga_pan_can_atlas_2018	TCGA-E2-A14P-01	83055.7
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FM-01	83091.9
brca_tcga_pan_can_atlas_2018	TCGA-AN-A0AS-01	83525.1
brca_tcga_pan_can_atlas_2018	TCGA-AO-A03O-01	84988.6
brca_tcga_pan_can_atlas_2018	TCGA-AO-A124-01	85824.1
brca_tcga_pan_can_atlas_2018	TCGA-BH-A208-01	88683.7
brca_tcga_pan_can_atlas_2018	TCGA-B6-A0RG-01	90969.1
brca_tcga_pan_can_atlas_2018	TCGA-C8-A1HI-01	94454.7
brca_tcga_pan_can_atlas_2018	TCGA-C8-A1HJ-01	95039.9
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07B-01	98098.9
brca_tcga_pan_can_atlas_2018	TCGA-D8-A27W-01	102988
brca_tcga_pan_can_atlas_2018	TCGA-C8-A1HK-01	103271
brca_tcga_pan_can_atlas_2018	TCGA-E9-A1N6-01	111048
brca_tcga_pan_can_atlas_2018	TCGA-E9-A1RC-01	115347
brca_tcga_pan_can_atlas_2018	TCGA-AO-A0JD-01	140996
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06R-01	159646
brca_tcga_pan_can_atlas_2018	TCGA-AR-A2LK-01	160415
brca_tcga_pan_can_atlas_2018	TCGA-BH-A1FM-01	260450
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CK-01	54580
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2RO-01	55042.1
cesc_tcga_pan_can_atlas_2018	TCGA-VS-A8EC-01	64302.3
cesc_tcga_pan_can_atlas_2018	TCGA-VS-A8EI-01	69292.1
cesc_tcga_pan_can_atlas_2018	TCGA-EK-A2R9-01	74308.5
cesc_tcga_pan_can_atlas_2018	TCGA-VS-A9U6-01	75950.2
coadread_tcga_pan_can_atlas_2018	TCGA-DM-A1HB-01	55077.2
coadread_tcga_pan_can_atlas_2018	TCGA-DC-6160-01	55579.2
coadread_tcga_pan_can_atlas_2018	TCGA-AH-6644-01	57518.4
