STUDY_ID	SAMPLE_ID	HSP90AA1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	20979.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	18527.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	26035.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	14796.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	23790
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	19516.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	14150.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	26790.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	21372.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	25809.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	27401.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	14504.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	39113.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	19696.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	44898
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	18229.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	50994.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	23912.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	72333.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	16081
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	11529.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	25604.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	23809.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	51923.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	39384.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	44639.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	47548.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	39667
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	25879.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	19402.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	56487.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	11487.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	29488.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	27158.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	25254.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	43627.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	28201.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	48649.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	13770.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	23715.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	33370.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KT-01	22632.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KU-01	16149.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KV-01	13683
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KW-01	25496.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KX-01	11740.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KY-01	17903.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KZ-01	53955.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L1-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L2-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L3-01	12195.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L4-01	38345.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L5-01	53388.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L6-01	27172
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L8-01	58450.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5L9-01	40360.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LA-01	66020.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LB-01	24328.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LC-01	25418.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LD-01	15180.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LE-01	27107.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LF-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LG-01	26748.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LH-01	23629.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LI-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LJ-01	8052.35
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LK-01	14401.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LL-01	31095.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LM-01	34648.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LN-01	17456.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LO-01	17506.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LP-01	24262.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LR-01	101011
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LS-01	59176.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5LT-01	13375.9
acc_tcga_pan_can_atlas_2018	TCGA-OU-A5PI-01	43608.9
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OF-01	27910.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5OG-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-P6-A5OH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-PA-A5YG-01	29247.8
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H8-01	25239.9
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5H9-01	13829.5
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HA-01	45357.2
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HB-01	30957.5
acc_tcga_pan_can_atlas_2018	TCGA-PK-A5HC-01	NA
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KO-01	47222.7
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KP-01	24125.3
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KQ-01	20952.7
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KR-01	11774.7
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KT-01	9602.6
blca_tcga_pan_can_atlas_2018	TCGA-2F-A9KW-01	26448.8
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7M-01	21882.9
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7N-01	16776.9
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7O-01	35636.9
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Q-01	12594
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7R-01	26852.7
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7S-01	37190.9
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7W-01	30666.2
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA7Y-01	27919.7
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA80-01	21984.5
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA81-01	22662.8
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA82-01	28406.7
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA83-01	16797.4
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA84-01	11154.1
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA86-01	33735.9
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA87-01	87768.4000000001
blca_tcga_pan_can_atlas_2018	TCGA-4Z-AA89-01	32509.2
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KI-01	21367.2
blca_tcga_pan_can_atlas_2018	TCGA-5N-A9KM-01	20949
blca_tcga_pan_can_atlas_2018	TCGA-BL-A0C8-01	32372.8
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13I-01	24347.1
blca_tcga_pan_can_atlas_2018	TCGA-BL-A13J-01	40737.1
blca_tcga_pan_can_atlas_2018	TCGA-BL-A3JM-01	42082.5
blca_tcga_pan_can_atlas_2018	TCGA-BL-A5ZZ-01	42545.5
