STUDY_ID	SAMPLE_ID	UBC
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	25181.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	25700.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	60844.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	53362.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	49527.6
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	44921.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	58118.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J9-01	45515.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JA-01	44285.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JB-01	52651
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JC-01	47856.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JD-01	32384.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JE-01	44096.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JF-01	45404.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JG-01	60190.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JH-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JI-01	25900.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JJ-01	36310.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JK-01	52472.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JL-01	54788.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JM-01	34776.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JO-01	43151.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JP-01	48221.3
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JQ-01	26401.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JR-01	25904.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JS-01	38530.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JT-01	42079.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JU-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JV-01	46626.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JW-01	45828
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JX-01	35347.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JY-01	52333.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5JZ-01	41005.5
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K0-01	47979.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K1-01	42184.1
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K2-01	70203.4000000001
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K3-01	61049.2
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K4-01	29652.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K5-01	60448.4
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K6-01	40491.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K8-01	59201.7
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5K9-01	53939.8
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KB-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KO-01	39993.9
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KP-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KQ-01	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5KS-01	NA
