connected_nodes	count	frequencies
HSP90AA1	35975	0.069707644
GRB2	23132	0.044822161
ILK	21639	0.041929221
HSPD1	21474	0.041609505
PRKAA1	19044	0.03690097
STAT3	18354	0.035563978
MAPK1	17195	0.03331822
IKBKG	16630	0.032223436
SHC1	15022	0.029107665
KRT18	13924	0.026980104
IRS4	13891	0.026916161
PIK3R1	13620	0.026391053
EIF4B	13542	0.026239914
MAP3K1	12478	0.024178235
IRS1	12377	0.02398253
MAP3K5	11760	0.022786988
IRF7	11719	0.022707544
JAK2	11056	0.021422869
CENPF	10640	0.020616799
ZC3HC1	10589	0.020517978
PLCG1	10484	0.020314522
TNK2	10477	0.020300959
MAP2K7	10444	0.020237016
GAK	10256	0.019872734
SOCS1	10206	0.01977585
RAB35	9992	0.019361189
SOCS5	9848	0.019082165
CDK13	9637	0.018673317
MYLK	9029	0.017495214
RAD17	8896	0.017237504
JAK3	8895	0.017235566
MAP3K4	8817	0.017084428
PDX1	8780	0.017012734
SMC6	8637	0.016735648
UBASH3A	8546	0.01655932
EPHB2	8515	0.016499252
PIK3CB	8482	0.016435309
PLCB2	8418	0.016311298
KRT74	8138	0.015768751
EPHA1	8070	0.015636989
PTN	3384	0.006557072
ERRFI1	2130	0.004127235
MAPK8IP3	611	0.001183916
MYBPC3	533	0.001032778
SHC3	525	0.001017276
MTIF2	193	0.00037397
MEP1B	80	0.000155014
