connected_node	count	frequency
UBC	17326	0.111525216
HSP90AA1	2690	0.017315181
ESR1	2514	0.016182292
HDAC2	1987	0.012790061
HSPA4	1863	0.01199189
HSPA8	1844	0.011869589
YWHAZ	1779	0.011451192
GRB2	1764	0.011354639
NEDD8	1682	0.010826816
TUBB	1619	0.010421293
CTNNB1	1608	0.010350488
GAPDH	1553	0.00999646
PRKDC	1360	0.008754144
EEF1A1	1275	0.00820701
HSPA5	1263	0.008129767
HSP90AB1	1185	0.007627691
AR	1106	0.007119179
HNRNPH1	1055	0.006790898
PARK2	1049	0.006752277
HGS	1048	0.00674584
KPNB1	1044	0.006720093
PTK2	1023	0.006584918
CEBPB	1021	0.006572045
CDC37	1007	0.006481928
STAT3	989	0.006366065
SH3KBP1	956	0.006153648
RNF115	888	0.005715941
CDK1	878	0.005651572
MAPK14	874	0.005625825
PCNA	862	0.005548582
CAV1	840	0.005406971
PPP2R1A	828	0.005329729
NEDD4	827	0.005323292
XPO1	826	0.005316855
SHC1	824	0.005303981
PSMD2	789	0.005078691
SRC	787	0.005065817
PPP2R5E	786	0.00505938
PHGDH	785	0.005052943
HDAC6	783	0.00504007
HSPA2	777	0.005001448
PHLDA1	761	0.004898458
DDX20	756	0.004866274
SYK	756	0.004866274
TRAF2	751	0.00483409
GRB10	749	0.004821216
CTNND1	744	0.004789032
RIOK1	739	0.004756847
APBB1	735	0.0047311
IARS	731	0.004705352
PRKCA	728	0.004686042
DUSP3	727	0.004679605
PDIA3	720	0.004634547
PLSCR1	720	0.004634547
MAP1LC3A	714	0.004595925
USP2	701	0.004512246
ATP5C1	697	0.004486499
TUBB3	697	0.004486499
CDC25A	695	0.004473625
PRDX1	684	0.004402819
IPO4	664	0.004274082
IGF1R	657	0.004229024
DNAJA2	656	0.004222587
DNAJA1	654	0.004209713
PIK3R2	652	0.004196839
STAT1	648	0.004171092
SOCS3	638	0.004106723
SMURF2	636	0.00409385
PFKL	635	0.004087413
HSP90B1	634	0.004080976
HTT	634	0.004080976
PRKAR1A	625	0.004023044
HCFC1	621	0.003997297
YAP1	621	0.003997297
SH3GL2	616	0.003965112
NUP93	609	0.003920054
PDCD6IP	602	0.003874996
H2AFX	593	0.003817064
IPO9	589	0.003791317
IRS1	587	0.003778443
SNRPD1	584	0.003759132
MAPK8IP2	574	0.003694764
ATP2A2	571	0.003675453
PRKACA	569	0.003662579
RPN1	563	0.003623958
USP9X	558	0.003591774
AP2A2	557	0.003585337
EMD	551	0.003546716
CBL	550	0.003540279
BUB3	548	0.003527405
NUMB	546	0.003514531
SNRPD2	543	0.003495221
LANCL2	542	0.003488784
VAPA	536	0.003450163
MMS19	534	0.003437289
LGALS3	532	0.003424415
RASA1	532	0.003424415
EIF2B2	525	0.003379357
STAT5B	522	0.003360046
BMX	519	0.003340736
EXOC6	519	0.003340736
ZAP70	515	0.003314988
SNX1	514	0.003308551
EIF2B5	512	0.003295678
CSK	511	0.003289241
MAPK8IP1	506	0.003257056
AP1M2	504	0.003244183
ZW10	500	0.003218435
ANKRD13D	495	0.003186251
VAC14	495	0.003186251
