connected_node	count	frequencies
UBC	25466	0.452881862
ELAVL1	5559	0.098860059
APP	5395	0.095943519
HDAC1	3052	0.054276111
EEF1A1	2188	0.038910921
CALM1	1871	0.033273461
HDAC3	1756	0.031228326
SIRT1	1650	0.029343245
MAPK1	1366	0.02429265
HNRNPC	1330	0.023652434
RAF1	1036	0.018424001
CCT7	865	0.015382974
DNAJA3	840	0.014938379
PIK3R2	753	0.01339119
PHB	630	0.011203784
PIK3CA	451	0.008020487
PDE4DIP	330	0.005868649
RAP1GDS1	224	0.003983568
DDX47	217	0.003859081
EGLN1	191	0.003396703
DDX50	158	0.002809838
RASSF5	136	0.002418595
RASSF2	133	0.002365243
PIK3CG	125	0.002222973
IGSF21	119	0.00211627
SHOC2	118	0.002098487
RALGDS	115	0.002045135
RGL2	91	0.001618324
ADH6	32	0.000569081
EPB42	27	0.000480162
RASGRF2	6	0.000106703
LPAR1	1	1.77838E-05
